160
4852341	8794795	4921101
4852341	8794795	5129412
4852341	8794795	5337723
4852341	8794795	5546034
4852341	8794795	5754345
4852341	8794795	5962656
4852341	8794795	6170967
4852341	8794795	6379278
9403103	233364	11929072
9403103	233364	12094427
9403103	233364	12259782
9403103	233364	12425137
9403103	233364	12590492
9403103	233364	12755847
9403103	233364	12921202
9403103	233364	13086557
6128828	2858632	7454676
6128828	2858632	7756602
6128828	2858632	8058528
6128828	2858632	8360454
6128828	2858632	8662380
6128828	2858632	8964306
6128828	2858632	9266232
6128828	2858632	9568158
13713356	11347271	11394534
13713356	11347271	11815929
13713356	11347271	12237323
13713356	11347271	12658718
13713356	11347271	13080112
13713356	11347271	13501507
13713356	11347271	13922901
13713356	11347271	14344296
3832971	8620174	13791970
3832971	8620174	14712364
3832971	8620174	15632759
3832971	8620174	16553153
3832971	8620174	17473548
3832971	8620174	18393942
3832971	8620174	19314336
3832971	8620174	20234731
7379708	8981070	15816722
7379708	8981070	16334529
7379708	8981070	16852336
7379708	8981070	17370143
7379708	8981070	17887950
7379708	8981070	18405756
7379708	8981070	18923563
7379708	8981070	19441370
6526215	14002180	25748130
6526215	14002180	26506204
6526215	14002180	27264278
6526215	14002180	28022352
6526215	14002180	28780426
6526215	14002180	29538500
6526215	14002180	30296574
6526215	14002180	31054648
12477633	3288948	24195241
12477633	3288948	25256279
12477633	3288948	26317317
12477633	3288948	27378355
12477633	3288948	28439393
12477633	3288948	29500430
12477633	3288948	30561468
12477633	3288948	31622506
12916999	13066207	26730196
12916999	13066207	27804586
12916999	13066207	28878976
12916999	13066207	29953367
12916999	13066207	31027757
12916999	13066207	32102147
12916999	13066207	33176538
12916999	13066207	34250928
11416841	6633645	21907205
11416841	6633645	22766785
11416841	6633645	23626364
11416841	6633645	24485944
11416841	6633645	25345524
11416841	6633645	26205103
11416841	6633645	27064683
11416841	6633645	27924262
8794795	4852341	4921101
8794795	4852341	5129412
8794795	4852341	5337723
8794795	4852341	5546034
8794795	4852341	5754345
8794795	4852341	5962656
8794795	4852341	6170967
8794795	4852341	6379278
233364	9403103	11929072
233364	9403103	12094427
233364	9403103	12259782
233364	9403103	12425137
233364	9403103	12590492
233364	9403103	12755847
233364	9403103	12921202
233364	9403103	13086557
2858632	6128828	7454676
2858632	6128828	7756602
2858632	6128828	8058528
2858632	6128828	8360454
2858632	6128828	8662380
2858632	6128828	8964306
2858632	6128828	9266232
2858632	6128828	9568158
11347271	13713356	11394534
11347271	13713356	11815929
11347271	13713356	12237323
11347271	13713356	12658718
11347271	13713356	13080112
11347271	13713356	13501507
11347271	13713356	13922901
11347271	13713356	14344296
8620174	3832971	13791970
8620174	3832971	14712364
8620174	3832971	15632759
8620174	3832971	16553153
8620174	3832971	17473548
8620174	3832971	18393942
8620174	3832971	19314336
8620174	3832971	20234731
8981070	7379708	15816722
8981070	7379708	16334529
8981070	7379708	16852336
8981070	7379708	17370143
8981070	7379708	17887950
8981070	7379708	18405756
8981070	7379708	18923563
8981070	7379708	19441370
14002180	6526215	25748130
14002180	6526215	26506204
14002180	6526215	27264278
14002180	6526215	28022352
14002180	6526215	28780426
14002180	6526215	29538500
14002180	6526215	30296574
14002180	6526215	31054648
3288948	12477633	24195241
3288948	12477633	25256279
3288948	12477633	26317317
3288948	12477633	27378355
3288948	12477633	28439393
3288948	12477633	29500430
3288948	12477633	30561468
3288948	12477633	31622506
13066207	12916999	26730196
13066207	12916999	27804586
13066207	12916999	28878976
13066207	12916999	29953367
13066207	12916999	31027757
13066207	12916999	32102147
13066207	12916999	33176538
13066207	12916999	34250928
6633645	11416841	21907205
6633645	11416841	22766785
6633645	11416841	23626364
6633645	11416841	24485944
6633645	11416841	25345524
6633645	11416841	26205103
6633645	11416841	27064683
6633645	11416841	27924262
